"ID"	"Name"	"Depth"	"IsLeaf"	"InCancer"	"Ba"	"N"	"A"	"B"	"H"
"GO:0009888"	"tissue development"	3	FALSE	TRUE	"NDC80 TTK"	"KIF2C TTK CDC20 DLGAP5 PTTG1 UBE2C CDCA8 NDC80 CCNB1 MAD2L1 NCAPG KIF14 BUB1B CENPE CENPF TOP2A NCAPH KIFC1 NUSAP1 KIF18A PLK1 NEK2 SPAG5"	"KIF2C CCNB1 UBE2C TTK DLGAP5 PTTG1 MAD2L1 NUSAP1 CDCA8 NDC80 BUB1B CDC20 CENPE KIF14 TOP2A CENPF NCAPG NEK2 KIFC1 NCAPH ESPL1 SPAG5 ZWINT FBXO5 KIF18A PLK1 KIF18B BUB1 SMC4 DSCC1 PTTG3P CDCA5 SPDL1"	""	""
"GO:0009987"	"cellular process"	1	FALSE	TRUE	""	"CEP55 BIRC5 AURKA PRC1 KIF20A RACGAP1 KIF4A NUSAP1 AURKB KIF14"	"BIRC5 CEP55 RACGAP1 KIF4A PRC1 NUSAP1 AURKA KIF20A KIF14 AURKB E2F8 KIF23 ESPL1 CDC6 STIL PLK1 ECT2 CDC25B ANLN"	""	""
"GO:0010719"	"negative regulation of epithelial to mesenchymal transition"	3	TRUE	TRUE	""	""	"TRIP13 CCNB1 AURKA FBXO5 CDC25B"	""	""
"GO:0010941"	"regulation of cell death"	3	FALSE	FALSE	"FOXC1 AR GATA3 FOXA1 CRIP1 SFRP1 SERPINB5 PRKX PROM1 WFS1 ESR1 ODC1"	""	""	"ASS1 PROM1 ESR1 GATA3"	""
"GO:0014031"	"mesenchymal cell development"	5	FALSE	TRUE	"FOXA1 AGR2 SPDEF"	""	""	""	""
"GO:0014033"	"neural crest cell differentiation"	6	TRUE	TRUE	"FOXA1 XBP1"	""	""	""	""
"GO:0016054"	"organic acid catabolic process"	4	FALSE	FALSE	"FOXC1 AR FOXA1 GATA3 CRIP1 SERPINB5 SFRP1 DACH1 ESR1 CEBPB CTSV ITGB8 CCNE1 COL9A3"	""	"TRIP13 ASPM E2F8 CCNB1 AURKA"	""	""
"GO:0019752"	"carboxylic acid metabolic process"	5	FALSE	TRUE	"XBP1 FBP1 LDHB GATA3 CYB5A MCCC2 ABAT ECI2 UGDH UGT8 SLC7A8 PHGDH ACOX2 PSAT1 CYP39A1 PAPSS1"	""	""	""	"GATA3 ETFA KMO PSMD3 IDH2 IRS1 QPRT FGFR4 ABAT PHGDH PSAT1 EGLN3 ACADSB ABCC3 KYNU ELOVL2 PRODH ASS1 MTHFD2 DNMT3B HPN FA2H IRS2"
"GO:0021904"	"dorsal/ventral neural tube patterning"	5	TRUE	TRUE	""	""	"PTTG1 TRIP13 CDK1 FOXM1 TOP2A TK1 EXO1 CHEK1 CDC45 EZH2 RRM2 FEN1 CENPF MCM10 E2F8 KPNA2 RAD51AP1 MCM2 MCM5 MKI67 CCNE2 CDC6 FANCI TYMS CCNE1 MCM6 MCM4 DBF4 DTL BLM CDT1 MCM7 HMGB3 ORC6 KIAA0101 RNASEH2A CDC25A CDC7 GINS1 RAD51 RFC4 PARPBP MCM3 NUDT1 HELLS HMGB2 FANCA GINS2 POLQ GINS3 DSCC1 GTPBP4 CHAF1B SRPK1 RAD54L ORC1 MIS18A RFC2 DKC1 HMGA1 RFC3 DNMT3B RAD54B CDC25C RECQL4 POLE2 DEK H2AFX PSMD14 PCNA CEBPG BRCA2 DNA2 CHAF1A GMNN NEIL3 POLD1 IGF1 TIPIN RFWD3 RFC5 EXOSC4 RAD51C MSH2 RAD21 MSH6 CHEK2 HSPD1 ISG20 UCHL5 ACTL6A TGFB3 PRIM1 LIG1 CACYBP IGFBP4 BARD1 SLBP DACH1 UBE2T POLR2D POLR2K UFD1L USP1 CDCA5 POLA2 PRIM2 UHRF1 UBE2V2 BRCA1 MND1 FANCG WHSC1 ADRA2A APOBEC3A FANCE ISG15"	""	""
"GO:0022612"	"gland morphogenesis"	4	FALSE	TRUE	""	"MCM10 CDC45"	"TOP2A CDK1 RRM2 CHEK1 CDC45 MCM10 FEN1 CCNE2 MCM6 BLM E2F8 DTL CDC6 MCM2 CDC7 MCM4 MCM5 RNASEH2A CCNE1 CDT1 KIAA0101 RAD51 ORC6 RFC4 MCM3 DBF4 CDC25A MCM7 GINS3 GINS1 DSCC1 POLQ GINS2 RFC3 CHAF1B GTPBP4 POLE2 CHAF1A DKC1 DNA2 RFC2 RECQL4 ORC1 GMNN CDC25C PCNA POLA2 HMGA1 BRCA2 CACYBP LIG1 IGF1 CHEK2 POLD1 TIPIN PRIM1 SLBP RFC5 PRIM2 GINS4 TGFB3 DACH1 ADRA2A RMI2"	""	""
"GO:0030850"	"prostate gland development"	3	FALSE	TRUE	""	"CDC45 MCM10 CDC7 MCM5 BLM ORC6 MCM6 TOP2A E2F8"	"CDC45 CCNE2 TOP2A RNASEH2A BLM CDC7 MCM6 MCM10 CDT1 RAD51 CDC6 MCM2 FEN1 E2F8 MCM4 MCM5 RFC4 MCM7 ORC6 MCM3 GINS3 CCNE1 POLQ GINS2 RFC3 GINS1 ORC1 PCNA POLE2 RFC2 POLA2 DNA2 HMGA1 BRCA2 LIG1 POLD1 CHEK2 SLBP TIPIN PRIM1 PRIM2 GINS4 RFC5 RNASEH1 E2F7"	""	""
"GO:0030855"	"epithelial cell differentiation"	5	FALSE	TRUE	""	"MCM6 TOP2A MCM2 MCM4"	"TOP2A MCM6 MCM4 MCM2 MCM7 RAD51 HMGA1"	""	""
"GO:0031017"	"exocrine pancreas development"	4	TRUE	TRUE	""	"MCM10 CDC45 CCNE2 MCM2 MCM6 CDT1 MCM5"	"CCNE2 CDC45 MCM10 MCM2 CDC6 CDT1 CDC7 MCM6 MCM4 MCM5 MCM3 MCM7 CCNE1 GINS2 POLE2 ORC1 POLA2 PRIM1"	""	""
"GO:0031982"	"vesicle"	3	FALSE	TRUE	""	"CDC45 FEN1 RNASEH2A MCM2 MCM4 MCM6 MCM7 RFC4"	"CDC45 RNASEH2A MCM6 MCM4 MCM2 FEN1 MCM5 RFC4 MCM7 MCM3 GINS2 GINS3 GINS1 RFC2 PCNA RFC3 POLA2 DNA2 LIG1 POLD1 PRIM1 PRIM2 GINS4 RFC5 RNASEH1"	""	""
"GO:0031988"	"membrane-bounded vesicle"	4	FALSE	FALSE	""	""	"FEN1 RNASEH2A DNA2 LIG1 RNASEH1"	""	""
"GO:0032463"	"negative regulation of protein homooligomerization"	6	TRUE	TRUE	""	""	"PTTG1 TRIP13 CDK1 FOXM1 CDC45 FEN1 CHEK1 RAD51AP1 EXO1 DTL FANCI RNASEH2A BLM KIAA0101 RAD51 RFC4 CDC7 PARPBP NUDT1 HMGB2 FANCA POLQ RAD54L GINS2 RFC3"	""	""
"GO:0032501"	"multicellular organismal process"	1	FALSE	FALSE	""	""	"TRIP13 CHEK1 EXO1 CDC45 TOP2A FEN1 BLM KPNA2 RAD51AP1 CDC7 HMGB3 RFC4 RAD51 PARPBP POLQ HMGB2 RFC3 RAD54B GINS2 RFC2 BRCA2 RAD54L H2AFX PCNA POLE2 RECQL4 PSMD14 DNA2 HSPD1 POLD1 ACTL6A RAD51C POLA2 PRIM1 RAD21 RFC5 LIG1 UCHL5 MSH2 STRA13 MSH6 BRCA1"	""	""
"GO:0032502"	"developmental process"	1	FALSE	TRUE	""	""	"NUSAP1 TOP2A CCNB1 CENPN HJURP CENPA MCM2 NCAPG CENPM NCAPH CENPU OIP5 ASF1B SMC4 NCAPG2 CENPI MIS18A HELLS HMGB2 SMC2 SRPK1 NCAPD2 CHAF1A CHAF1B HMGA1 H2AFX CENPO CASC5 CENPW CDCA5 CENPK"	""	""
"GO:0032534"	"regulation of microvillus assembly"	4	TRUE	FALSE	""	""	"CENPN CENPA CENPM HJURP CENPU OIP5 ASF1B CENPI MIS18A CENPW CENPO CENPK CASC5"	""	""
"GO:0032808"	"lacrimal gland development"	4	TRUE	TRUE	""	""	"CENPN CENPA CHEK1 HJURP CENPM OIP5 CENPU HMGB3 HELLS HMGB2 CENPI MIS18A CASC5 CENPO HMGA1 CENPW"	""	""
"GO:0033145"	"positive regulation of intracellular steroid hormone receptor signaling pathway"	4	FALSE	TRUE	""	""	"KIF4A HJURP UBE2C CENPE BIRC5 TPX2 KIF11 ASPM RACGAP1 CCNB1 AURKA TK1 RRM2 CENPA CENPN BLM CENPF NEK2 MCM2 KIF23 AURKB KIF14 CENPM KIFC1 MYBL2 UBE2S PLK1 STMN1 FBXO5 ASF1B OIP5 MMP1 POLQ CENPU RAD51 ECT2 PDSS1 CHAF1B CENPI SHMT2 FANCA ADRM1 MIS18A HMGB2 PSRC1 EIF4EBP1 KNTC1 TUBA1B EVL NUP93 HMGA1 TUBA1C DERL1 H2AFX TUBB ANLN CHAF1A COL16A1 GMNN SOD2 CASC5 TCP1 GCH1 SF3B3 ACTR3 MAPT CENPW CENPO TMSB15B KCTD5 ARPC5L"	""	""
"GO:0033148"	"positive regulation of intracellular estrogen receptor signaling pathway"	5	TRUE	TRUE	""	""	""	""	"GGCT GATA3 KMO G6PD MED1 KYNU EGLN3 PRODH MTHFD2 DNMT3B ASS1 HPN PADI2 ERO1A GCH1 SLC5A6 CRYM"
"GO:0033540"	"fatty acid beta-oxidation using acyl-CoA oxidase"	7	TRUE	FALSE	""	""	"SHMT2 GGH TYMS MTHFD2 DHFR GCH1 SLC25A32"	""	""
"GO:0035272"	"exocrine system development"	4	FALSE	FALSE	"FOXC1 GATA3 SOX10 SFRP1 TSPAN1 ALCAM SERPINB5 VAV3"	""	"KIF2C DLGAP5 KIF4A RACGAP1 ASPM KIF20A CDK1 CENPE KIF14 KIF11 KIFC1 KIF15 STMN1 KIF23 MMP1 CX3CR1 SLC7A5 KIF18A ANLN KIF13B"	""	"ERBB2 GATA3 GRB7 PSMD3"
"GO:0035295"	"tube development"	3	FALSE	FALSE	""	""	"PTTG1 KIF2C CCNA2 KIF4A TRIP13 MELK FOXM1 RACGAP1 TOP2A CCNB1 CDK1 CHEK1 CENPE EZH2 MCM10 KIF11 FEN1 CDC45 RAD51AP1 APOBEC3B MKI67 EXO1 KIF15 PBK KIFC1 KIF23 TACC3 BLM DTL CX3CR1 DDX39A GTSE1 FANCI KIAA0101 KIF18A RFC4 CIRBP PLK1 SLC7A5 RNASEH2A MMP1 LRP8 ECT2 E2F1 CDCA5 CDC7 UBE2T RAD51 SFRP1 UHRF1"	""	"GATA3 ERBB2"
"GO:0035356"	"cellular triglyceride homeostasis"	5	TRUE	TRUE	""	""	"CCNA2 PTTG1 TRIP13 CDK1 FOXM1 TOP2A CDC45 FEN1 CHEK1 RAD51AP1 MCM10 DDX39A EXO1 DTL FANCI GTSE1 RNASEH2A BLM KIAA0101 PLK1 RFC4 RAD51 MCM7 CDC7 E2F1 NUDT1 PARPBP PSMA7 HMGB2 RAD54L POLQ GINS2 FANCA PCNA RAD54B BRCA2 TIMELESS RFC3 HMGA1 BCL2A1 RECQL4 UHRF1 CDCA5 POLE2 DEK CEBPG UBE2T"	""	""
"GO:0036500"	"ATF6-mediated unfolded protein response"	5	TRUE	TRUE	""	"TPX2 CENPA CCNA2 TTK KIF2C UBE2C ASPM DLGAP5 NDC80 PTTG1 CDC20 CDCA8 BIRC5 CCNB2 HJURP TRIP13 NCAPG AURKA PRC1 MAD2L1 KIF14 CDK1 CHEK1 AURKB KIF20A KIF11 CCNB1 MKI67 CDC45"	"KIF2C TTK CCNA2 PTTG1 UBE2C BIRC5 KIF4A PRC1 DLGAP5 BUB1B TPX2 TRIP13 MAD2L1 NUSAP1 NDC80 HJURP ASPM CENPA KIF20A RACGAP1 CCNB1 CDK1 AURKA CDCA8 CENPN TOP2A CDC20 EZH2 CHEK1 KIF14 KIF11 CENPE CDC45 NCAPG CCNB2 CDCA3 NEK2 CKS2 CENPF FEN1 MKI67 KIFC1 AURKB MCM2 MYBL2 TACC3 ZWINT MCM5 UBE2S ESPL1 KIF23 NCAPH CENPM KIF15 PBK SPAG5 MCM4 SPC25 H2AFZ STMN1 FAM64A CDC6 MCM6 BLM CIRBP PLK1 ERCC6L STIL CENPU FBXO5 CTSV KIF18A CDC25A ATAD2 PLK4 KIAA0101 OIP5 HMGB3 ASF1B KIF18B BUB1 GPSM2 RFC4 EVL NME5 E2F1 CDC25B MCM7 SMC4 ESR1 ECT2 GATA3 HELLS MCM3 CBX7 RAD51 SFRP1 RAD54L ERBB4 ANLN DSCC1 MAPT GINS2 NCAPG2 PTTG3P HMGB2 KDM4B IGF1 DIAPH3 PKMYT1 MYB CENPW FAM83D DKC1 TMSB15B SLAMF8 FANCA CDCA5 SKA3 PFKP MTFR2 SRPK1 NUP93 NUF2 DNMT3B UHRF1 KRT14 CENPI SKA1 XBP1 HMGA1 VAV3 CASC5 NCAPD2 MIS18A IGF1R RECQL4 SOD2 MRPL15 LZTFL1 MTFR1"	""	""
"GO:0040007"	"growth"	1	FALSE	TRUE	"TTK NDC80 KIF2C TPX2 CRYAB KRT16 SFRP1 CTSV KRT18 LIMA1"	"TPX2 CENPA KIF2C TTK NDC80 BIRC5 ASPM PRC1 CDK1 CCNB1 KIF20A AURKA AURKB KIF23"	"KIF2C TTK BIRC5 KIF4A PRC1 NUSAP1 NDC80 TPX2 ASPM RACGAP1 CCNB1 CENPA KIF20A CDK1 AURKA CHEK1 KIF11 CENPE AURKB TACC3 NEK2 MYBL2 KIFC1 KIF23 SPAG5 SPC25 ESPL1 STMN1 PLK4 PLK1 STIL FBXO5 KIF18A KIAA0101 KIF18B GPSM2 EVL CTSV ECT2 SFRP1 ANLN MAPT SKA3 KRT14 SKA1"	""	""
"GO:0042127"	"regulation of cell proliferation"	3	FALSE	TRUE	"NDC80 TTK"	"CENPA TPX2 TTK ASPM KIF2C DLGAP5 NDC80 BIRC5 KIF14 AURKB CCNB1 MYBL2 AURKA PRC1 CHEK1 KIF20A CDK1 KIF4A KIF11"	"KIF2C DLGAP5 TTK BIRC5 PRC1 NUSAP1 TPX2 RACGAP1 CCNB1 AURKA KIF4A NDC80 CENPA KIF11 KIF20A ASPM CDK1 CHEK1 KIF14 AURKB CENPE TACC3 KIF23 ESPL1 MYBL2 SPC25 KIF15 NEK2 SPAG5 KIFC1 GTSE1 PLK4 STMN1 STIL FBXO5 PLK1 KIF18A KIAA0101 KIF18B ECT2 KIF13B GPSM2 NME5 TUBA1B SKA1 TUBA1C SKA3 MAPT GAPDH BORA GAS2L3"	""	""
"GO:0042802"	"identical protein binding"	4	TRUE	TRUE	""	"KIF2C DLGAP5"	"KIF2C DLGAP5 KIF4A RACGAP1 KIF11 KIF20A CENPE KIF14 KIF15 KIF23 KIFC1 KIF18A KIF18B KIF13B NME5 MAPT"	""	""
"GO:0042981"	"regulation of apoptotic process"	5	FALSE	TRUE	"KIF2C"	"KIF2C AURKA AURKB CCNB1"	"KIF2C AURKA CCNB1 AURKB STMN1 KIF18A KIF18B"	""	""
"GO:0043067"	"regulation of programmed cell death"	4	FALSE	TRUE	""	""	"CCNB1 AURKA AURKB"	""	""
